type,name,cached_count
ArchiveWarning,No Archive Warnings Apply,4095298
Category,M/M,3744166
ArchiveWarning,Choose Not To Use Archive Warnings,2556570
Rating,Teen And Up Audiences,2272688
Rating,General Audiences,2115153
Category,F/M,1839948
Category,Gen,1423967
Rating,Explicit,1238331
Freeform,Fluff,1183065
Rating,Mature,1151260
Rating,Not Rated,825385
Freeform,Angst,813647
Category,F/F,654059
Freeform,To Read,529014
ArchiveWarning,Graphic Depictions Of Violence,519931
Freeform,Complete,472403
Freeform,Smut,444264
Freeform,Hurt/Comfort,415318
ArchiveWarning,Major Character Death,379648
Category,Multi,369718
Fandom,Harry Potter - J. K. Rowling,361919
Freeform,Romance,353482
Freeform,Read,351016
Fandom,Supernatural,310300
Freeform,Established Relationship,308719
Freeform,Alternate Universe,306633
Freeform,Alternate Universe - Canon Divergence,274614
Freeform,One Shot,252586
Freeform,Humor,248783
Fandom,Marvel Cinematic Universe,240536
Freeform,AU,232276
Category,Other,231426
Fandom,방탄소년단 | Bangtan Boys | BTS,203097
Freeform,Fluff and Angst,203047
Freeform,Cute,202129
Freeform,Anal Sex,200568
Character,Dean Winchester,196184
Freeform,Alternate Universe - Modern Setting,194227
ArchiveWarning,Rape/Non-Con,192479
Character,Tony Stark,188737
Freeform,Favorite,184479
Character,Steve Rogers,183041
Freeform,Friendship,182061
Character,Harry Potter,180395
ArchiveWarning,Underage,178303
Fandom,Teen Wolf (TV),172802
Character,Original Characters,170848
Freeform,Unread,161201
Freeform,Emotional Hurt/Comfort,158307
Fandom,The Avengers (Marvel Movies),157813
Freeform,Angst with a Happy Ending,156136
Character,Sam Winchester,155832
Character,Original Female Character(s),155668
Fandom,Sherlock (TV),151925
Freeform,Slow Burn,151698
Fandom,Marvel,147757
Freeform,Oral Sex,143321
Freeform,Drabble,142620
Character,Reader,138216
Freeform,Plot What Plot/Porn Without Plot,132573
Freeform,Friends to Lovers,132390
Fandom,Haikyuu!!,130918
Freeform,Fave,123519
Freeform,First Kiss,122564
Freeform,Pining,122227
Relationship,Derek Hale/Stiles Stilinski,122223
Character,Sherlock Holmes,120949
Freeform,First Time,119305
Freeform,Crossover,117074
Freeform,Drama,116503
Character,"James ""Bucky"" Barnes",116426
Freeform,Love,115800
Freeform,Canon Compliant,115301
Freeform,sterek,114789
Freeform,Kissing,113555
Freeform,Short,112383
Relationship,Castiel/Dean Winchester,111991
Freeform,Fluff and Smut,110995
Freeform,Domestic Fluff,109207
Freeform,Blow Jobs,108782
Freeform,Light Angst,108198
Freeform,Series,108016
Fandom,Original Work,105960
Freeform,Finished,105464
Fandom,Naruto,105108
Freeform,Post-Canon,103950
Freeform,Alternate Universe - College/University,103016
Freeform,WIP,102698
Freeform,Oneshot,101433
Character,Jeon Jungkook,100963
Freeform,Alpha/Beta/Omega Dynamics,100536
Freeform,Happy Ending,99682
Freeform,Mutual Pining,98882
Freeform,Family,98728
Freeform,Fav,97777
Freeform,Crack,97128
